Run,Age,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue
SRR6301079,78,RNA-Seq,150,674978550,Edwin CHEUNG,PRJNA418865,SAMN08038074,Human,457384656,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401991,Illumina HiSeq 2000,RHM248_0h,RHM248_0h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM248_0h,female,SRP125153,breast
SRR6301080,79,RNA-Seq,150,848117100,Edwin CHEUNG,PRJNA418865,SAMN08038075,Human,577217941,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401990,Illumina HiSeq 2000,RHM251_0h,RHM251_0h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM251_0h,female,SRP125153,breast
SRR6301082,81,RNA-Seq,150,634015350,Edwin CHEUNG,PRJNA418865,SAMN08038077,Human,432125313,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401988,Illumina HiSeq 2000,RHM259_0h,RHM259_0h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM259_0h,female,SRP125153,breast
SRR6301084,153,RNA-Seq,150,824001900,Edwin CHEUNG,PRJNA418865,SAMN08038149,Human,561918694,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401986,Illumina HiSeq 2000,RHM301_6h,RHM301_6h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM301_6h,female,SRP125153,breast
SRR6301086,91,RNA-Seq,150,714519000,Edwin CHEUNG,PRJNA418865,SAMN08038087,Human,486132044,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401984,Illumina HiSeq 2000,RHM217_12h,RHM217_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM217_12h,female,SRP125153,breast
SRR6301088,87,RNA-Seq,150,619717500,Edwin CHEUNG,PRJNA418865,SAMN08038083,Human,420428359,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401982,Illumina HiSeq 2000,RHM298_0h,RHM298_0h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM298_0h,female,SRP125153,breast
SRR6301090,89,RNA-Seq,150,285210000,Edwin CHEUNG,PRJNA418865,SAMN08038085,Human,197156924,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401980,Illumina HiSeq 2000,RHM304_0h,RHM304_0h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM304_0h,female,SRP125153,breast
SRR6301091,88,RNA-Seq,150,598302300,Edwin CHEUNG,PRJNA418865,SAMN08038084,Human,407594975,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401979,Illumina HiSeq 2000,RHM299_0h,RHM299_0h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM299_0h,female,SRP125153,breast
SRR6301093,82,RNA-Seq,150,100963500,Edwin CHEUNG,PRJNA418865,SAMN08038078,Human,70208478,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401977,Illumina HiSeq 2000,RHM280_0h,RHM280_0h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM280_0h,female,SRP125153,breast
SRR6301095,84,RNA-Seq,150,637135050,Edwin CHEUNG,PRJNA418865,SAMN08038080,Human,434285729,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401975,Illumina HiSeq 2000,RHM289_0h,RHM289_0h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM289_0h,female,SRP125153,breast
SRR6301097,101,RNA-Seq,150,683316600,Edwin CHEUNG,PRJNA418865,SAMN08038097,Human,462549575,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401973,Illumina HiSeq 2000,RHM250_12h,RHM250_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM250_12h,female,SRP125153,breast
SRR6301099,99,RNA-Seq,150,899334450,Edwin CHEUNG,PRJNA418865,SAMN08038095,Human,614883831,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401971,Illumina HiSeq 2000,RHM243_12h,RHM243_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM243_12h,female,SRP125153,breast
SRR6301101,97,RNA-Seq,150,622195650,Edwin CHEUNG,PRJNA418865,SAMN08038093,Human,423453553,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401969,Illumina HiSeq 2000,RHM235_12h,RHM235_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM235_12h,female,SRP125153,breast
SRR6301102,94,RNA-Seq,150,584711250,Edwin CHEUNG,PRJNA418865,SAMN08038090,Human,397372915,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401968,Illumina HiSeq 2000,RHM225_12h,RHM225_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM225_12h,female,SRP125153,breast
SRR6301104,92,RNA-Seq,150,579604500,Edwin CHEUNG,PRJNA418865,SAMN08038088,Human,396867444,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401966,Illumina HiSeq 2000,RHM219_12h,RHM219_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM219_12h,female,SRP125153,breast
SRR6301106,111,RNA-Seq,150,980256900,Edwin CHEUNG,PRJNA418865,SAMN08038107,Human,670050482,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401964,Illumina HiSeq 2000,RHM291_12h,RHM291_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM291_12h,female,SRP125153,breast
SRR6301109,104,RNA-Seq,150,575183700,Edwin CHEUNG,PRJNA418865,SAMN08038100,Human,393359649,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401961,Illumina HiSeq 2000,RHM264_12h,RHM264_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM264_12h,female,SRP125153,breast
SRR6301111,102,RNA-Seq,150,939564900,Edwin CHEUNG,PRJNA418865,SAMN08038098,Human,640656088,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401959,Illumina HiSeq 2000,RHM257_12h,RHM257_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM257_12h,female,SRP125153,breast
SRR6301112,109,RNA-Seq,150,666558450,Edwin CHEUNG,PRJNA418865,SAMN08038105,Human,452773112,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401958,Illumina HiSeq 2000,RHM274_12h,RHM274_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM274_12h,female,SRP125153,breast
SRR6301114,107,RNA-Seq,150,879323550,Edwin CHEUNG,PRJNA418865,SAMN08038103,Human,598679945,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401956,Illumina HiSeq 2000,RHM267_12h,RHM267_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM267_12h,female,SRP125153,breast
SRR6301116,116,RNA-Seq,150,920653950,Edwin CHEUNG,PRJNA418865,SAMN08038112,Human,629286288,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401954,Illumina HiSeq 2000,RHM231_3h,RHM231_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM231_3h,female,SRP125153,breast
SRR6301118,118,RNA-Seq,150,1057952550,Edwin CHEUNG,PRJNA418865,SAMN08038114,Human,718367902,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401952,Illumina HiSeq 2000,RHM247_3h,RHM247_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM247_3h,female,SRP125153,breast
SRR6301120,112,RNA-Seq,150,580351200,Edwin CHEUNG,PRJNA418865,SAMN08038108,Human,395628436,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401950,Illumina HiSeq 2000,RHM297_12h,RHM297_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM297_12h,female,SRP125153,breast
SRR6301122,114,RNA-Seq,150,581220450,Edwin CHEUNG,PRJNA418865,SAMN08038110,Human,394420456,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401948,Illumina HiSeq 2000,RHM306_12h,RHM306_12h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM306_12h,female,SRP125153,breast
SRR6301124,120,RNA-Seq,150,1307961300,Edwin CHEUNG,PRJNA418865,SAMN08038116,Human,886696308,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3401946,Illumina HiSeq 2000,RHM255_3h,RHM255_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM255_3h,female,SRP125153,breast
SRR6301033,123,RNA-Seq,150,1527163500,Edwin CHEUNG,PRJNA418865,SAMN08038119,Human,1035743826,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402037,Illumina HiSeq 2000,RHM269_3h,RHM269_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM269_3h,female,SRP125153,breast
SRR6301034,122,RNA-Seq,150,730611450,Edwin CHEUNG,PRJNA418865,SAMN08038118,Human,497395322,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402036,Illumina HiSeq 2000,RHM268_3h,RHM268_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM268_3h,female,SRP125153,breast
SRR6301035,125,RNA-Seq,150,784591050,Edwin CHEUNG,PRJNA418865,SAMN08038121,Human,532038182,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402035,Illumina HiSeq 2000,RHM277_3h,RHM277_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM277_3h,female,SRP125153,breast
SRR6301036,124,RNA-Seq,150,809838600,Edwin CHEUNG,PRJNA418865,SAMN08038120,Human,552191814,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402034,Illumina HiSeq 2000,RHM276_3h,RHM276_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM276_3h,female,SRP125153,breast
SRR6301037,127,RNA-Seq,150,1150142550,Edwin CHEUNG,PRJNA418865,SAMN08038123,Human,781608532,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402033,Illumina HiSeq 2000,RHM279_3h,RHM279_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM279_3h,female,SRP125153,breast
SRR6301038,126,RNA-Seq,150,1239621900,Edwin CHEUNG,PRJNA418865,SAMN08038122,Human,837912119,MCF-7,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402032,Illumina HiSeq 2000,RHM278_3h,RHM278_3h,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,RHM278_3h,female,SRP125153,breast
