Run,Age,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue
SRR6301126,NA,RNA-Seq,202,964373654,Edwin CHEUNG,PRJNA418867,SAMN08038200,Human,355757668,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402133,Illumina HiSeq 2000,T47D_12h_population,T47D_12h_population,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_population,female,SRP125154,breast
SRR6301128,NA,RNA-Seq,202,821720446,Edwin CHEUNG,PRJNA418867,SAMN08038196,Human,318730611,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402131,Illumina HiSeq 2000,T47D_12h_G8,T47D_12h_G8,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_G8,female,SRP125154,breast
SRR6301130,NA,RNA-Seq,202,1008923340,Edwin CHEUNG,PRJNA418867,SAMN08038198,Human,375940522,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402129,Illumina HiSeq 2000,T47D_12h_H4,T47D_12h_H4,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_H4,female,SRP125154,breast
SRR6301131,NA,RNA-Seq,202,1297922518,Edwin CHEUNG,PRJNA418867,SAMN08038197,Human,481410461,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402128,Illumina HiSeq 2000,T47D_12h_H12,T47D_12h_H12,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_H12,female,SRP125154,breast
SRR6301133,NA,RNA-Seq,202,823070614,Edwin CHEUNG,PRJNA418867,SAMN08038191,Human,316794985,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402126,Illumina HiSeq 2000,T47D_12h_F12,T47D_12h_F12,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_F12,female,SRP125154,breast
SRR6301135,NA,RNA-Seq,202,1112142916,Edwin CHEUNG,PRJNA418867,SAMN08038193,Human,412020920,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402124,Illumina HiSeq 2000,T47D_12h_F9,T47D_12h_F9,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_12h_F9,female,SRP125154,breast
SRR6301138,NA,RNA-Seq,202,1146777836,Edwin CHEUNG,PRJNA418867,SAMN08038207,Human,425032191,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402121,Illumina HiSeq 2000,T47D_3h_2B8,T47D_3h_2B8,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2B8,female,SRP125154,breast
SRR6301140,NA,RNA-Seq,202,1361253154,Edwin CHEUNG,PRJNA418867,SAMN08038205,Human,509549234,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402119,Illumina HiSeq 2000,T47D_3h_2B6,T47D_3h_2B6,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2B6,female,SRP125154,breast
SRR6301142,NA,RNA-Seq,202,957428692,Edwin CHEUNG,PRJNA418867,SAMN08038203,Human,359284391,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402117,Illumina HiSeq 2000,T47D_3h_2B11,T47D_3h_2B11,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2B11,female,SRP125154,breast
SRR6301143,NA,RNA-Seq,202,871087832,Edwin CHEUNG,PRJNA418867,SAMN08038204,Human,323065686,T-47D,UNIVERSITY OF MACAU,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3402116,Illumina HiSeq 2000,T47D_3h_2B2,T47D_3h_2B2,PAIRED,PolyA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-11-16T00:00:00Z,T47D_3h_2B2,female,SRP125154,breast
